Team,autoBoulderPoints,autoBouldersHigh,autoBouldersLow,autoCrossingPoints,autoPoints,autoReachPoints,defenseCrosses,foulCount,techFoulCount,teleopBoulderPoints,teleopBouldersHigh,teleopBouldersLow,teleopChallengePoints,teleopCrossingPoints,teleopDefensesBreached,teleopPoints,teleopScalePoints,teleopTowerCaptured,teleopTowerFacesChallenged,teleopTowerFacesScaled,totalPoints
3838,0.53,0.05,0.01,3.42,4.8,0.86,2.38,-0.02,0.02,0.87,-0.06,0.58,3.32,10.19,0.07,14.05,-0.33,0.06,0.66,-0.02,19.4
3951,-0.21,0.0,-0.04,8.17,8.22,0.26,2.93,0.04,-0.02,2.88,-0.3,2.2,2.85,10.58,0.28,19.32,3.01,0.08,0.57,0.2,29.95
4023,0.52,-0.02,0.15,1.27,1.91,0.13,1.98,0.21,-0.04,1.0,0.24,-0.1,1.75,9.25,0.14,11.88,-0.12,-0.16,0.35,-0.01,15.48
4093,4.22,0.46,-0.08,3.25,7.76,0.28,1.83,-0.16,0.04,2.72,-0.39,2.32,2.84,7.51,-0.1,11.68,-1.39,0.11,0.57,-0.09,19.32
4930,-0.79,-0.06,-0.03,9.83,8.7,-0.35,3.01,0.15,0.14,4.63,-0.49,3.55,0.58,10.16,0.44,25.58,10.22,0.12,0.12,0.68,34.37
5030,1.16,0.1,0.04,3.61,5.05,0.28,3.5,0.21,-0.13,-0.68,-0.32,0.45,0.17,15.67,0.41,13.14,-2.02,-0.29,0.03,-0.13,19.21
5240,-0.02,-0.02,0.04,4.79,5.61,0.83,3.41,0.16,0.16,9.17,0.08,4.37,3.16,14.65,0.43,30.2,3.23,0.36,0.63,0.22,34.66
5254,5.35,0.54,-0.01,6.79,12.14,0.0,3.23,0.13,0.18,20.21,3.8,0.6,6.05,12.74,0.54,40.21,1.2,0.43,1.21,0.08,56.37
5433,-1.65,-0.16,-0.0,2.18,0.57,0.04,2.45,0.16,-0.07,0.26,0.0,0.12,3.89,11.14,0.19,18.0,2.71,-0.1,0.78,0.18,20.07
5590,-2.39,-0.23,-0.02,5.53,3.8,0.66,1.08,-0.16,0.1,-0.44,-0.53,1.11,1.57,2.65,-0.08,4.84,1.06,-0.01,0.31,0.07,8.26
