Team,autoBoulderPoints,autoBouldersHigh,autoBouldersLow,autoCrossingPoints,autoPoints,autoReachPoints,defenseCrosses,foulCount,techFoulCount,teleopBoulderPoints,teleopBouldersHigh,teleopBouldersLow,teleopChallengePoints,teleopCrossingPoints,teleopDefensesBreached,teleopPoints,teleopScalePoints,teleopTowerCaptured,teleopTowerFacesChallenged,teleopTowerFacesScaled,totalPoints
3015,3.48,0.31,0.07,6.64,10.15,0.03,2.66,-0.15,0.05,8.06,1.22,0.97,4.85,9.99,0.11,19.57,-3.33,-0.05,0.98,-0.21,31.29
3130,4.43,0.42,0.04,11.72,16.08,-0.07,2.67,0.12,0.27,9.32,1.78,0.2,3.32,7.51,0.32,19.33,-0.81,-0.2,0.67,-0.05,35.13
3314,-0.18,-0.08,0.12,8.8,8.65,0.03,2.92,0.02,-0.15,13.53,2.28,1.06,2.13,10.22,0.4,34.71,8.83,0.18,0.43,0.59,42.52
3481,4.67,0.5,-0.07,2.88,7.67,0.13,2.26,-0.03,0.24,19.34,3.83,0.11,2.81,9.84,0.22,34.97,2.98,-0.02,0.45,0.09,45.33
3538,0.01,0.02,-0.03,11.88,11.79,-0.11,2.36,0.29,-0.05,18.97,3.78,0.03,4.0,5.83,0.3,27.03,-1.77,0.02,0.8,-0.11,41.01
3620,-0.63,-0.15,0.17,11.99,11.43,0.07,2.93,-0.21,0.0,27.23,5.61,-0.41,0.34,8.64,0.31,48.24,12.04,0.23,0.07,0.81,62.24
3641,1.28,0.14,-0.02,10.87,11.68,-0.46,2.64,0.44,0.19,21.27,4.55,-0.74,4.15,7.77,0.36,32.65,-0.54,0.15,0.84,-0.03,44.64
3683,-0.94,-0.16,0.14,6.76,6.2,0.37,3.89,0.28,-0.06,11.88,0.84,3.84,1.96,16.07,0.38,35.58,5.67,0.18,0.4,0.39,42.31
3824,6.2,0.68,-0.12,9.89,16.07,-0.02,2.75,0.33,0.06,25.48,5.04,0.13,6.3,8.8,0.38,35.94,-4.63,0.17,1.26,-0.31,53.4
4039,2.98,0.3,-0.01,15.06,17.62,-0.42,2.83,-0.05,-0.23,9.6,2.07,-0.36,5.59,6.64,0.38,22.0,0.17,0.2,1.12,0.01,39.9
4587,9.28,0.9,0.06,8.34,18.02,0.4,2.63,0.19,0.46,27.73,5.44,0.27,5.09,8.99,0.37,42.35,0.54,0.37,1.03,0.05,61.8
4967,0.23,-0.1,0.24,11.43,11.43,-0.23,2.55,-0.23,-0.17,10.55,2.37,-0.66,3.11,7.05,0.23,24.37,3.67,-0.11,0.62,0.24,35.18
5254,0.73,0.07,0.0,7.43,9.05,0.89,2.86,0.03,0.37,25.15,4.74,0.74,1.38,10.57,0.35,45.0,7.89,0.23,0.27,0.52,53.19
5460,1.59,0.15,0.01,10.36,11.7,-0.26,2.56,-0.01,-0.04,16.24,3.2,0.12,2.39,7.64,0.29,29.77,3.5,0.08,0.47,0.23,40.69
